CityId,CountryId,StateId,Name,TimeZone,Latitude,Longitude
10053,102,NULL,Bima,+08:00,-8.53972,118.687
10054,237,NULL,Ban Me Thuot,+07:00,12.6683,108.12
10055,4,NULL,Bordj Badji Mokhtar,+01:00,21.1333,1.06667
10057,157,NULL,Belep Island,+11:00,-19.75,163.667
10059,231,43,Nashville,-06:00,36.1244,-86.6783
10061,51,NULL,Beni,+02:00,0.583333,29.4667
10062,103,NULL,Bandar Abbas,+03:30,27.2186,56.3778
10063,14,53,Brisbane,+10:00,-27.3842,153.117
10066,161,NULL,Benin City,+01:00,6.31694,5.59944
10067,14,52,Ballina (Byron Bay),+10:00,-28.8339,153.562
10070,165,NULL,Bronnoysund,+01:00,65.4611,12.2175
10075,236,NULL,Barinas,-04:30,8.61944,-70.2208
10080,28,NULL,Banja Luka,+01:00,44.9414,17.2975
10081,200,NULL,Bellona,+11:00,-11.3022,159.799
10083,51,NULL,Boma,+01:00,-5.86667,13.0667
10084,76,NULL,Bora Bora (Tahiti),-10:00,-16.4444,-151.751
10085,170,NULL,Bocas Del Toro,-05:00,9.34083,-82.2508
10086,74,NULL,Bordeaux,+01:00,44.8333,-0.566667
10088,48,NULL,Bogota,-05:00,4.70167,-74.1469
10089,230,NULL,Bournemouth,+00:00,50.78,-1.8425
10090,231,14,Boise,-07:00,43.5644,-116.223
10091,34,NULL,Burgas,+02:00,42.5697,27.5153
10094,101,NULL,Mumbai (Bombay),+05:30,19.0886,72.8681
10095,156,NULL,Bonaire,-04:00,12.1311,-68.2686
10096,165,NULL,Bodo,+01:00,67.2692,14.3653
10100,231,20,Boston,-05:00,42.3667,-71
10101,171,NULL,Boset,+10:00,-7.23333,141.083
10106,35,NULL,Bobo Dioulasso,+00:00,11.16,-4.33083
10113,200,NULL,Batuna,+11:00,-8.58333,158.117
10118,102,NULL,Balikpapan,+08:00,-1.26833,116.894
10119,31,80,Porto Seguro,-03:00,-16.4386,-39.0808
10120,231,44,Beaumont,-06:00,30.0833,-94.1
10122,45,NULL,Changdu,+08:00,30.5511,97.1106
10123,131,NULL,Besalampy,+03:00,-16.7419,44.4814
10128,14,53,Boulia,+10:00,-22.9133,139.9
10129,178,NULL,Aguadilla,-04:00,18.495,-67.1294
10132,182,NULL,Blagoveschensk,+10:00,50.4253,127.412
10133,21,NULL,Brest,+03:00,52.1167,23.8833
10136,31,80,Barreiras,-03:00,-12.05,-45
10138,11,70,San Carlos de Bariloche,-03:00,-41.1511,-71.1578
10139,231,24,Brainerd,-06:00,46.4,-94.1333
10140,81,NULL,Bremen,+01:00,53.0475,8.78667
10142,231,18,Whitesburg,-05:00,37.1167,-82.8167
10144,108,NULL,Bari,+01:00,41.1381,16.765
10147,231,13,Burlington,-06:00,40.7833,-91.1256
10148,236,NULL,Barquisimeto,-04:30,10.0428,-69.3586
10149,211,NULL,Berne,+01:00,46.9167,7.5
10150,231,44,Brownsville,-06:00,25.9069,-97.4258
10152,58,NULL,Brno,+01:00,49.1514,16.6944
10153,230,NULL,Barra,+00:00,57.0269,-7.4375
10154,230,NULL,Bristol,+00:00,51.3825,-2.71889
10155,14,59,Bathurst Island,+09:30,-11.7667,130.633
10156,22,NULL,Brussels,+01:00,50.9028,4.48333
10158,231,1,Barrow,-09:00,71.3333,-156.65
10162,201,NULL,Bossaso,+03:00,11.2756,49.1578
10163,31,82,Brasilia,-03:00,-15.8711,-47.9186
10164,48,NULL,Bahia Solano,-05:00,6.20306,-77.3947
10165,45,NULL,Baoshan,+08:00,25.0533,99.1686
10168,66,NULL,Bata,+01:00,1.90556,9.80556
10172,4,NULL,Biskra,+01:00,34.7933,5.73833
10175,174,NULL,Basco,+08:00,20.4514,121.98
10178,104,NULL,Basra,+03:00,30.5492,47.6622
10184,151,NULL,Bassein,+06:30,16.8,94.7833
10186,231,1,Bartletts,-09:00,58.2667,-157.483
10194,102,NULL,Batam,+07:00,1.12111,104.119
10195,231,1,Barter Island,-09:00,70.1339,-143.582
10196,102,NULL,Banda Aceh,+07:00,5.52361,95.4203
10197,182,NULL,Bratsk,+09:00,56.3706,101.698
10198,231,23,Battle Creek,-05:00,42.3,-85.25
10199,231,27,Butte,-07:00,45.9547,-112.497
10204,231,19,Baton Rouge,-06:00,30.5333,-91.15
10205,198,NULL,Bratislava,+01:00,48.1667,17.2167
10206,231,1,Bettles,-09:00,66.9139,-151.529
10207,133,NULL,Bintulu,+08:00,3.12417,113.02
10208,231,47,Burlington,-05:00,44.4719,-73.1533
10213,171,NULL,Buka,+10:00,-5.42222,154.673
10215,14,53,Burketown,+10:00,-17.7486,139.534
10216,99,NULL,Budapest,+01:00,47.4369,19.2556
10217,11,60,Buenos Aires,-03:00,-34.5722,-58.3703
10218,231,35,Buffalo,-05:00,42.9406,-78.7322
10220,181,NULL,Bucharest,+02:00,44.5028,26.0833
10224,171,NULL,Bulolo,+10:00,-7.2,146.65
10226,48,NULL,Buenaventura,-05:00,3.81972,-76.9897
10229,244,NULL,Bulawayo,+02:00,-20.0175,28.6178
10230,231,5,Burbank,-08:00,34.2006,-118.359
10231,80,NULL,Batumi,+04:00,41.6103,41.5997
10235,102,NULL,Baubau,+08:00,-5.46667,122.633
10236,51,NULL,Bunia,+02:00,1.56583,30.2208
10238,103,NULL,Bushehr,+03:30,28.9494,50.8303
10239,31,94,Boa Vista,-04:00,2.84639,-60.69
10240,40,NULL,Boa Vista,-01:00,16.1367,-22.8889
10242,74,NULL,Brive-la-Gaillarde,+01:00,45.1508,1.46917
10244,165,NULL,Berlevag,+01:00,70.8675,29.0336
10245,31,93,Vilhena,-04:00,-12.6944,-60.0983
10246,14,53,Birdsville,+10:00,-25.8975,139.348
10259,154,NULL,Bhairawa,+05:45,27.5058,83.4164
10263,81,NULL,Braunschweig/Wolfsburg,+01:00,52.3192,10.5561
10267,231,21,Baltimore,-05:00,39.1667,-76.6667
